MangAgen,the_geom,ProjName,ORRID,OneNYC,ProjVal,Schedule,CompDate,FndSourc,Borough,CounDist,CommBord,MoreInfo,Link
Trust for Governors Island,POINT (-74.01853406289787 40.68953691484352),Governors Island: Wind Damaged Buildings Repair (Phase 1) [Multisite],TGI002,Buildings,30000,Completed,Q1 2014,"FEMA, City Funds",Manhattan,1,MN-1,Work includes replacement of damaged or missing slate tiles on three historic buildings.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.02516206288996 40.68507291483664),Governors Island: Flood Damaged Electrical Systems Repair (Phase 1),TGI003,Buildings,120000,Completed,,"FEMA, City Funds",Manhattan,1,MN-1,Work includes replacement of USGC navigational equipment transformer.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.01275606290035 40.6888079148461),Governors Island: Kimmel Road & Carder Road Repair [Multisite],TGI004,Infrastructure,50000,Completed,,City Funds,Manhattan,1,MN-1,Work includes sink hole repair.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.01234706290114 40.68937691484673),Governors Island: Kimmel Road & Carder Road Repair [Multisite],TGI004,Infrastructure,50000,Completed,,City Funds,Manhattan,1,MN-1,Work includes sink hole repair.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.01732906290154 40.69273391484651),Governors Island: Flood Damaged Buildings Repair (Phase 1) [Multisite],TGI008,Buildings,110000,Completed,,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes electrical repairs to the sewage pump house, boiler repairs for Building 110, and mold remediation in Building 140.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.01493506290294 40.69281291484789),Governors Island: Flood Damaged Buildings Repair (Phase 1) [Multisite],TGI008,Buildings,110000,Completed,,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes electrical repairs to the sewage pump house, boiler repairs for Building 110, and mold remediation in Building 140.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.02187506289184 40.68510191483841),Governors Island: Flood Damaged Buildings Repair (Phase 1) [Multisite],TGI008,Buildings,110000,Completed,,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes electrical repairs to the sewage pump house, boiler repairs for Building 110, and mold remediation in Building 140.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Trust for Governors Island,POINT (-74.01639606290207 40.69276591484706),Governors Island: Building 110 Heating System,TGI014,Buildings,3000000,Construction,Q2 2017,FEMA-428,Manhattan,1,MN-1,Work will include installation of a new boiler for Building 110.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Teachers' Retirement System of NYC,POINT (-74.00976006291576 40.7033699148584),Teachers' Retirement System Headquarters Repairs,TRS002,Buildings,100000,Completed,,"FEMA, City Funds",Manhattan,1,MN-1,"Work includes replacement of damaged computer equipment, windows, and contents.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-74.01544799750774 40.70260314696297),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-74.01365643931405 40.70494683903187),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-74.00508513212563 40.70909872691761),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-74.0041625270805 40.706244008681274),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Mayor's Office of Recovery and Resiliency,POINT (-74.01589884142119 40.70165341426795),Lower Manhattan Coastal Resiliency Implementation - The Battery,ORR141,Coastal Defense,8000000,Planning,,City Funds,Manhattan,1,MN-1,Work includes implementation of coastal flood risk reduction system.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Mayor's Office of Recovery and Resiliency,POINT (-74.00475781475959 40.70233760862093),Lower Manhattan Coastal Resiliency Implementation - Manhattan Tip,ORR038,Coastal Defense,100000000,Planning,,City Funds,Manhattan,1,MN-1,Work includes implementation of coastal flood risk reduction system.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.9893293629402 40.71732891487975),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Fire Department of the City of New York,POINT (-73.98613306293518 40.71014491487624),"EMS 8, EMS 4, M1 - Repairs [Multisite]",FDNY005,Buildings,270000,Completed,Q3 2013,"FEMA, City Funds",Manhattan,"1, 3, 4","MN-2, MN-3, MN-6","Work includes replacement of drywall, floor tiles, and minor electrical repair.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Fire Department of the City of New York,POINT (-73.98624706293508 40.710078914876085),"EMS 8, EMS 4, Marine 1 - Mitigation [Multisite]",FDNY035,Buildings,810000,Planning,,"FEMA, City Funds",Manhattan,"1, 3, 4","MN-2, MN-3, MN-6",Work includes raising all mechanical equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Police Department,POINT (-73.98458606293589 40.70997391487693),Pier 36 Boiler and Electrical Reconstruction,NYPD012,Infrastructure,440000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,1,MN-3,"Work includes boiler and electrical reconstruction, facility clean-up, and replacement of flooring, drywall, paint, insulation, and other items damaged by flooding.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-73.97416006296586 40.7356299149014),Skyport Marina - Recovery,NYCEDC100,Infrastructure,630000,Completed,Q1 2013,"FEMA, City Funds",Manhattan,4,MN-6,"Work includes repair of facility elevator and docks, and restoration of electric service and marina power.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.99517250257672 40.71016633210001),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Sanitation,POINT (-73.9844300629362 40.710199914877165),Pier 36 - Repair and Mitigation,DSNY009,Infrastructure,3000000,Planning,,"FEMA-428, FEMA, City Funds",Manhattan,2,MN-3,"Work includes floodproofing, replacement of damaged electrical and mechanical systems.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Economic Development Corporation,POINT (-73.98394649604164 40.71023697381416),East River Waterfront Esplanade - Recovery,NYCEDC039,Infrastructure,0,Completed,,,Manhattan,2,MN-3,Work includes debris removal of organic waste deposited by the East River and replacement of damaged assets.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.97943937718425 40.71180528120452),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Citywide Administrative Services,POINT (-74.00385606292792 40.71279391486853),Various Repairs at Department of Citywide Administrative Services Properties [Multisite],DCAS003,Buildings,130000,Completed,Q4 2014,"FEMA, City Funds",Citywide,"1, 8, 16, 19, 24, 30, 32, 33, 47, 49, 50","MN-1, BX-4, BK-2, BK-13, QN-5, QN-7, QN-9, QN-10, QN-12, SI-1, SI-2","Work includes various repairs, replacement, tree removal, and site work at 13 sites citywide.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Police Department,POINT (-74.00128806292864 40.712064914869366),One Police Plaza Repairs,NYPD010,Infrastructure,100000,Completed,Q2 2013,"FEMA, City Funds",Manhattan,1,MN-1,Work includes replacement of electrical and HVAC coil equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Brooklyn Bridge Park Corporation,POINT (-73.99644814319697 40.7019658991746),Brooklyn Bridge Park Restoration,BBPC003,Coastal Defense,1000000,Construction,Q4 2017,"FEMA, City Funds",Brooklyn,1,BK-2,"Work includes restoration of park facilities including buildings, playgrounds, paths, and other structures.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
City University of New York,POINT (-74.0119290629281 40.7177239148677),Borough of Manhattan Community College Repairs,CUNY019,Buildings,8000000,Construction,Q4 2016,"FEMA, City Funds, Insurance Proceeds",Manhattan,1,MN-1,"Work includes repairs to damaged buildings, electrical system, and mechaical system.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.94427488161514 40.77852005641439),Asphalt Green Hurricane Sandy Reconstruction,DPR357,Infrastructure,0,Planning,,"FEMA, City Funds",Manhattan,5,MN-8,"Work includes reconstruction of the boiler, bulkhead, and pool filtration system in partnership with the Asphalt Green non-profit organization.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Office of the Mayor,POINT (-74.01087226292552 40.7143700148658),Office of Management and Budget Static Transfer Switches,MAYORALTY004,Buildings,10000,Completed,Q4 2012,"FEMA, City Funds",Manhattan,1,MN-1,Work includes the replacement of the base boards of two static transfer switches.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-74.00604265571472 40.7219971028832),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-74.01163841134027 40.7171117555385),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Sanitation,POINT (-74.01078006293646 40.72592991487433),Manhattan Sanitation Districts 1/2/5 Garage Mitigation,DSNY001,Infrastructure,380000,Completed,Q1 2015,"FEMA, City Funds",Manhattan,3,MN-2,Work includes garage restoration and protection.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Environmental Protection,POINT (-74.00596603673957 40.7224367400654),Resiliency Work at Canal Street Pumping Station,DEP018,Infrastructure,3000000,Design,Q3 2021,City Funds,Manhattan,1,MN-2,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.96645666288887 40.649484714842764),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
City University of New York,POINT (-73.95224006287957 40.63120991483716),Brooklyn College Building Repairs,CUNY001,Buildings,180000,Completed,Q2 2014,"FEMA, City Funds, Insurance Proceeds",Brooklyn,45,BK-14,"Work includes repairs to architectural, electrical, and mechanical components.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
NYC Health + Hospitals,POINT (-73.97534286296818 40.738746814903),Bellevue Hospital Facility Repairs and Mitigation,HHCBELL,Infrastructure,0,Planning,,"FEMA-428, HUD CDBG-DR",Manhattan,4,MN-6,"Work includes the renovation and mitigation work at Bellevue, including a flood wall, interior MEP, and vertical transportation work.",http://www.nychealthandhospitals.org/hhc/html/feature/sandy-anniversary.shtml
Department of Education,POINT (-73.95348406289497 40.64834941484903),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.96096036291024 40.66892701485991),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.8213213315315 40.749309557497405),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
City University of New York,POINT (-73.8168810630518 40.7348849149869),Queens College Building Repairs,CUNY018,Buildings,90000,Completed,Q3 2014,"FEMA, City Funds, Insurance Proceeds",Queens,24,QN-8,"Work includes roof repairs, roof-mounted exhaust hood replacement, and electrical system repairs.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.75366953154895 40.746988557515145),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Education,POINT (-73.87412986302593 40.740821614959906),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Education,POINT (-73.82682996307472 40.76487011500346),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.82523103153704 40.76328095750151),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.85390103151455 40.732426957482325),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.85927703151278 40.73177395748063),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Queens [Multisite]",DPR278,Infrastructure,5000000,Completed,Q1 2015,"FEMA, City Funds",Queens,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34","QN-1, QN-2, QN-3, QN-5, QN-6, QN-7, QN-8, QN-9, QN-11, QN-12, QN-13, QN-14","Work includes reconstruction of play equipment, safety surfacing, handball and basketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Education,POINT (-73.95977736300219 40.7656382149312),Emergency Power for 51 Critical Schools [Multisite],DOE005,Infrastructure,14000000,Design,Q1 2020,"FEMA-HMGP, City Funds",Citywide,"1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 16, 17, 18, 19, 20, 24, 25, 26, 29, 30, 32, 33, 35, 36, 37, 38, 39","MN-3, MN-4, MN-7, MN-8, MN-10, MN-12, BX-1, BX-2, BX-3, BX-4, BX-5, BX-6, BX-8, BX-9, BX-12, BK-2, BK-3, BK-4, BK-5, BK-6, BK-7, BK-9, BK-10, BK-12, BK-14, BK-16, BK-17, QN-1, QN-4, QN-5, QN-6, QN-7, QN-8, QN-10, QN-11, SI-1, SI-2, SI-3",Work includes installing quick-connections at 51 schools to prevent service disruption.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.96391293859672 40.75329269000211),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Fire Department of the City of New York,POINT (-73.8396030629679 40.65924291491911),Engine 331 - Mitigation,FDNY043,Buildings,300000,Planning,,"FEMA, City Funds",Queens,32,QN-10,Work includes raising all mechanical equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Parks and Recreation,POINT (-73.96436035678322 40.76103329470846),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.9879732190054 40.74217638701819),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
Department of Parks and Recreation,POINT (-73.99044504431295 40.73583157593488),"Reconstruction of Play Equipment, Safety Surfaces, and General Site Work at Various Parks in Manhattan [Multisite]",DPR266,Infrastructure,1000000,Completed,Q4 2014,"FEMA, City Funds",Manhattan,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","MN-1, MN-2, MN-3, MN-5, MN-6, MN-7, MN-8, MN-9, MN-10, MN-11, MN-12","Work includes reconstruction of play equipment, safety surfacing, handball and baseketball courts, and general site work.",http://www.nycgovparks.org/planning-and-building/planning/resiliency-plans
City University of New York,POINT (-73.98309006296543 40.74034991490004),Baruch College Repairs,CUNY009,Buildings,200000,Completed,Q2 2015,"FEMA, City Funds, Insurance Proceeds",Manhattan,2,MN-6,"Work includes contents replacement, building repairs, and mechanical system repairs.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Environmental Protection,POINT (-73.92395852453835 40.78672326023882),Resiliency Work at Wards Island WWTP,DEP053,Infrastructure,3000000,Design,Q3 2021,"FEMA, City Funds",Manhattan,8,MN-11,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Police Department,POINT (-73.92658506305361 40.80055491497496),Launch Repair Shop (LRS) Reconstruction,NYPD005,Infrastructure,370000,Completed,Q2 2013,"FEMA, City Funds",Manhattan,8,MN-11,"Work includes replacement of roughly 1,000 sq-ft of docks due to storm damage and subsequently reconstructed to withstand a higher water surge.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
Department of Environmental Protection,POINT (-73.92294706304274 40.78699991496703),"Wards Island Boiler, Emergency Generator & Cogeneration Facility Investment Grade Feasibility Study",DEP092,Infrastructure,690000,Completed,Q2 2016,"City Funds, NYPA PLM",Manhattan,8,MN-11,Work includes floodproofing and elevating equipment.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
New York City Department of Transportation,POINT (-73.9326496670077 40.80748482578919),Electrical Flood-Proofing of 12 Movable Bridges [Multisite],NYCDOT061,Infrastructure,106000000,Construction,Q4 2017,FHWA,Citywide,"8, 9, 10, 14, 26, 30, 34, 39","MN-10, MN-11, MN-12, BX-1, BX-4, BX-7, BK-1, BK-6, QN-2, QN-5",Work includes repairing the electrical and mechanical systems on 12 moveable bridges.,http://www1.nyc.gov/html/onenyc/visions/resilience.html
NYC Health + Hospitals,POINT (-73.94496026302875 40.78505391495356),Metropolitan Hospital Facility Repairs and Mitigation,HHCMET,Infrastructure,0,Planning,,"FEMA-428, FEMA-HMGP, FEMA, HUD CDBG-DR, City Funds",Manhattan,8,MN-11,"Work includes moving the switchgear to the second floor, building a new duct bank, and a perimeter flood wall.",http://www.nychealthandhospitals.org/hhc/html/feature/sandy-anniversary.shtml
School Construction Authority,POINT (-73.93048566304797 40.79686211497011),School Recovery & Resiliency at M112,SCA022,Buildings,13000000,Construction,Q2 2018,"FEMA, City Funds",Manhattan,8,MN-11,"Work includes heating plant, electrical, flood elimination, and interior spaces.",http://www1.nyc.gov/html/onenyc/visions/resilience.html
